Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"HLA-A MHC class I protein HLA-A (HLA-A28,-B40, -Cw3)"	T63499	236	P	462	P	354	P	611	P	127	P	431	P	434	P	354	P	365	P	498	P	583	P	1529	P	2333	P	331	P	364	P	540	P	711	P
"FTH1 Ferritin heavy chain"	T63508	197	P	318	P	648	P	3085	P	177	P	615	P	260	P	2428	P	222	P	330	P	355	P	662	P	899	P	1144	P	1123	P	1284	P	1191	P
"ESTs, Weakly similar to F59C6.4 [C.elegans]"	T63520	89	P	80	P	129	P	11	P	26	P	55	P	53	P	17	P	30	P	48	P	56	P	48	P	30	P	79	P	88	P	73	P	59	P
"No cluster in current Unigene and no Genbank entry for T63539 (qualifier T63539)"	T63539	9	A	5	A	7	A	2	A	7	A	7	A	6	A	9	A	-8	A	-5	A	-2	A	4	A	-3	A	6	A	0	A	-5	A	6	A
"RPLP0 Ribosomal protein, large, P0"	T63591	1396	P	1252	P	1574	P	1061	P	447	P	462	P	527	P	444	P	1040	P	1339	P	1314	P	1290	P	962	P	990	P	1107	P	811	P	819	P
"No cluster in current Unigene and no Genbank entry for T63597 (qualifier T63597)"	T63597	7	A	2	A	0	A	1	A	2	A	6	A	2	A	0	A	-7	A	7	A	-3	A	-1	A	-5	A	3	A	-1	A	2	A	6	A
"No cluster in current Unigene and no Genbank entry for T63598 (qualifier T63598)"	T63598	-28	A	-39	A	-2	A	-4	A	-2	A	-17	A	-5	A	-8	A	-8	A	-6	A	-11	A	-9	A	-5	A	-9	A	-5	A	-12	A	-13	A
"SINGLE-STRANDED DNA-BINDING PROTEIN MSSP-1"	T63612	22	P	16	P	13	P	10	A	8	A	11	A	12	P	11	P	10	P	13	P	31	P	14	M	38	P	8	P	12	P	22	P	24	P
"No cluster in current Unigene and no Genbank entry for T63613 (qualifier T63613)"	T63613	18	A	24	P	28	P	34	P	6	A	10	A	3	A	8	A	13	A	15	A	18	P	19	M	19	P	22	P	9	A	1	A	9	A
"ESTs, Moderately  similar to Y BOX BINDING PROTEIN-1 [Gallus gallus]"	T63887	973	P	901	P	1004	P	318	P	390	P	528	P	817	P	330	P	699	P	569	P	423	P	388	P	295	P	504	P	566	P	526	P	347	P
"No cluster in current Unigene and no Genbank entry for T64001 (qualifier T64001)"	T64001	1	A	-9	A	5	A	5	A	-1	A	9	A	5	A	5	A	2	A	7	A	10	A	2	A	7	A	-2	A	2	A	5	A	3	A
"ESTs"	T64004	-17	A	-24	A	-10	A	-5	A	-9	A	-10	A	-6	A	8	A	10	A	-6	A	-23	A	6	A	-7	A	-6	A	1	A	-3	A	-1	A
"EST"	T64012	23	P	20	A	30	P	3	A	8	A	8	A	15	A	10	P	3	A	11	A	19	A	29	P	10	A	26	P	14	A	11	A	12	P
"ERBB4 V-erb-a avian erythroblastic leukemia viral oncogene homolog-like 4"	T64026	-18	A	1	A	0	A	3	A	1	A	4	A	2	A	-2	A	-5	A	6	A	7	A	6	A	2	A	8	A	1	A	4	A	7	A
"DNA-binding protein CPBP (CPBP) mRNA, partial cds"	T64128	2	A	8	A	8	A	14	A	7	A	6	A	20	P	48	P	12	A	4	A	8	A	1	A	17	P	6	A	29	P	15	A	10	A
"Monocyte chemoattractant protein-4 precursor (MCP-4) mRNA"	T64134	-8	A	-2	A	-5	A	-14	A	-1	A	-4	A	-9	A	-2	A	-10	A	2	A	1	A	-15	A	-1	A	1	A	0	A	-8	A	-6	A
"Proton-ATPase-like protein"	T64142	32	P	188	P	216	P	93	P	6	A	60	P	37	P	37	P	54	P	61	P	76	P	101	P	69	P	68	P	49	P	39	P	39	P
"PABPL1 Poly(A)-binding protein-like 1"	T64148	118	P	90	P	76	P	114	P	179	P	237	P	185	P	161	P	296	P	119	P	152	P	84	P	104	P	183	P	135	P	152	P	111	P
"PULMONARY SURFACTANT-ASSOCIATED PROTEIN C PRECURSOR"	T64163	-12	A	-27	A	-5	A	-8	A	2	A	-12	A	-11	A	1	A	4	A	6	A	2	A	-15	A	4	A	19	M	4	A	3	A	11	A
"DDH1 Dihydrodiol dehydrogenase"	T64167	8	A	19	P	7	A	-2	A	2	A	2	A	4	A	2	A	-2	A	-3	A	1	A	-2	A	-2	A	-7	A	-3	A	-10	A	-4	A
"ALDOB Aldolase B, fructose-bisphosphate"	T64171	0	A	-1	A	-10	A	-6	A	0	A	-1	A	-2	A	2	A	-1	A	5	A	-7	A	3	A	3	A	2	A	3	A	0	A	-1	A
"ESTs, Highly  similar to ZINC FINGER PROTEIN HF.12 [Homo sapiens]"	T64207	-6	A	-9	A	-9	A	5	A	1	A	-5	A	-7	A	-4	A	6	A	-1	A	6	A	-13	A	2	A	29	P	38	P	37	P	25	P
"HBG2 Hemoglobin gamma-G "	T64297	-1	A	11	A	2	A	5	A	2	A	-1	A	-2	A	1	A	2	A	4	A	-1	A	-1	A	-1	A	2	A	1	A	1	A	0	A
"No cluster in current Unigene and no Genbank entry for T64298 (qualifier T64298)"	T64298	38	A	42	A	81	A	53	A	7	A	-1	A	28	A	14	A	41	A	55	A	39	A	67	M	61	P	37	A	33	A	23	A	41	M
"ANX2 Annexin II (lipocortin II)"	T64351	25	P	34	P	14	P	48	P	31	P	46	P	48	P	40	P	93	P	98	P	79	P	134	P	59	P	118	P	92	P	25	P	73	P
"ANX11 Annexin XI (56kD autoantigen)"	T64467	224	P	179	P	110	P	281	P	80	P	137	P	170	P	219	P	65	P	55	P	101	P	72	P	88	P	189	P	163	P	136	P	142	P
"CES2 Carboxylestease 2 (liver)"	T64470	113	P	98	P	82	P	37	P	26	P	33	P	32	P	67	P	35	P	30	P	64	P	87	P	199	P	9	A	2	A	3	A	5	A
"HLA-E MHC class I antigen HLA-E"	T64491	46	A	92	A	35	A	97	P	0	A	26	A	12	A	37	P	22	P	17	M	68	P	100	P	152	P	10	A	6	A	-3	A	17	A
"Apolipoprotein apoC-IV (APOC4) gene"	T64576	12	A	5	A	-14	A	-6	A	-4	A	-8	A	-8	A	-15	A	-10	A	-2	A	-5	A	-8	A	-4	A	-21	A	-9	A	-12	A	-12	A
"No cluster in current Unigene and no Genbank entry for T64669 (qualifier T64669)"	T64669	0	A	3	A	-1	A	3	A	1	A	-2	A	2	A	1	A	2	A	3	A	-3	A	-5	A	1	A	0	A	6	A	6	A	-3	A
"ESTs, Highly  similar to BRAIN PROTEIN H5 [Mus musculus]"	T64878_i	2	A	-2	A	12	P	-2	A	1	A	14	A	6	A	0	A	-6	A	-1	A	4	A	-13	A	-4	A	-7	A	4	A	13	A	-5	A
"ESTs, Highly  similar to BRAIN PROTEIN H5 [Mus musculus]"	T64878_r	10	A	24	A	24	A	8	A	-27	A	-31	A	-37	A	-31	A	-36	A	-47	A	-51	A	-64	A	-71	A	-18	A	-25	A	-19	A	-25	A
"ESTs"	T64885	13	A	108	A	14	A	15	A	5	A	6	A	1	A	-9	A	7	M	20	A	5	A	22	A	5	A	13	A	15	A	20	P	-1	A
"THYROXINE-BINDING GLOBULIN PRECURSOR"	T64901	-1	A	11	A	12	A	14	A	1	A	-2	A	-1	A	4	A	-5	A	-6	A	14	A	6	A	4	A	4	A	2	A	3	A	4	A
"PTB-ASSOCIATED SPLICING FACTOR"	T64923	58	P	33	P	157	P	24	P	21	P	23	P	30	P	12	P	28	P	47	P	27	P	23	P	37	P	52	P	46	P	21	P	33	P
"No cluster in current Unigene and no Genbank entry for T64941 (qualifier T64941)"	T64941	10	A	62	M	40	A	-7	A	-2	A	8	A	-5	A	2	A	27	M	20	A	9	A	18	A	1	A	9	M	6	A	1	A	11	A
"CLN3 Ceroid-lipofuscinosis, neuronal 3, juvenile (Batten, Spielmeyer-vogt disease) "	T64974	128	P	53	M	212	P	71	M	65	P	67	P	83	P	54	P	40	P	28	P	20	P	33	P	33	P	159	P	140	P	82	P	198	P
"EST"	T64983	102	P	69	A	70	P	62	P	48	P	46	P	48	A	36	P	62	P	73	P	56	P	72	P	68	P	43	M	40	P	25	A	29	P
"60S RIBOSOMAL PROTEIN L23A"	T65003	709	P	872	P	768	P	1275	P	393	P	406	P	355	P	317	P	230	P	318	P	395	P	356	P	356	P	623	P	675	P	629	P	797	P
"PTPRB Protein tyrosine phosphatase, receptor type, beta polypeptide"	T65024	-1	A	5	A	5	A	1	A	3	A	4	A	2	A	-2	A	6	A	12	A	2	A	17	P	8	A	4	A	0	A	-2	A	6	A
"ESTs"	T65046	-4	A	93	M	-3	A	14	A	9	A	17	A	26	A	21	A	30	A	43	A	4	A	43	A	31	A	25	A	8	A	22	A	18	A
"No cluster in current Unigene and no Genbank entry for T65055 (qualifier T65055)"	T65055	7	A	23	A	28	A	1	A	0	A	-3	A	-10	A	6	A	0	A	14	A	7	A	14	A	3	M	3	A	5	A	5	A	8	A
"CDC42 Cell division cycle 42 (GTP-binding protein, 25kD)"	T65061	-6	A	0	A	3	A	0	A	0	A	4	A	2	A	-1	A	-2	A	0	A	5	A	3	A	5	A	11	A	7	A	21	P	12	A
"ESTs"	T65228	3	A	17	A	20	P	7	A	-1	A	0	A	3	A	0	A	5	A	5	A	9	A	-1	A	1	A	-4	A	3	A	-1	A	1	A
"Phosphoribosypyrophosphate synthetase-associated protein 39"	T65380	63	P	37	A	35	P	60	P	29	P	45	P	24	P	25	P	33	P	58	P	41	P	55	A	33	P	49	P	59	P	46	P	49	P
"ESTs, Highly  similar to PUTATIVE SERINE/THREONINE-PROTEIN KINASE EMK [Mus musculus]"	T65384	18	A	6	A	11	A	11	A	-1	A	11	A	3	A	1	A	-1	A	26	P	4	A	8	A	0	A	-2	A	2	A	7	A	18	A
"PRE-MRNA SPLICING FACTOR SRP20"	T65438	369	P	234	P	467	P	271	P	243	P	306	P	399	P	78	P	40	P	147	P	128	P	134	P	137	P	398	P	413	P	429	P	361	P
"ESTs"	T65440	15	A	10	P	16	P	5	A	8	A	15	A	10	A	7	A	18	A	19	P	23	P	19	P	17	A	15	A	28	P	11	A	18	A
"ESTs"	T65444	4	A	20	P	7	A	-2	A	-1	A	4	A	-1	A	-1	A	-2	A	1	A	-3	A	-6	A	-4	A	-6	A	3	A	1	A	0	A
"Cyclin G2 mRNA"	T65541	18	P	17	P	9	A	19	P	9	A	8	A	5	A	11	A	17	P	23	P	33	P	22	P	39	P	20	P	32	P	39	P	44	P
"ESTs, Weakly similar to leukocyte CD24 surface antigen homolog [H.sapiens]"	T65562	6	A	16	A	-5	A	-1	A	2	A	6	A	2	A	3	A	1	A	8	A	6	A	0	A	-1	A	9	A	10	A	9	A	8	A
"mRNA fragment encoding beta-tubulin. (from clone D-beta-1)"	T65580	1681	P	1358	P	1267	P	837	P	1486	P	2397	P	2695	P	945	P	1445	P	1477	P	1257	P	1151	P	921	P	2790	P	3021	P	2999	P	2475	P
"Amplaxin (EMS1) mRNA"	T65594_f	-10	A	-14	A	-9	A	-25	A	-7	A	-4	A	-2	A	-11	A	-1	A	-2	A	-2	A	-4	A	0	A	-6	A	-4	A	-2	A	2	A
"Amplaxin (EMS1) mRNA"	T65594_i	24	M	47	P	19	A	75	A	2	A	3	A	32	A	29	A	11	A	8	A	11	A	13	A	7	A	20	A	35	A	16	A	28	A
"Amplaxin (EMS1) mRNA"	T65594_r_i	12	A	5	A	11	A	16	P	-5	A	0	A	6	A	-3	A	-7	A	-3	A	3	A	-3	A	6	A	11	A	12	A	16	A	16	A
"No cluster in current Unigene and no Genbank entry for T65597 (qualifier T65597_f)"	T65597_f	3	A	13	A	2	A	0	A	-1	A	7	A	3	A	-2	A	5	A	1	A	8	A	12	P	7	A	-1	A	-1	A	-1	A	-1	A
"ESTs, Highly  similar to TRANSCRIPTIONAL COACTIVATOR P15 [Mus musculus]"	T65740	313	P	391	P	380	P	536	P	348	P	358	P	382	P	420	P	93	P	237	P	504	P	413	P	309	P	487	P	671	P	707	P	530	P
"PDHA1 Pyruvate dehydrogenase (lipoamide) alpha 1"	T65758	228	P	165	P	225	P	102	P	149	P	198	P	187	P	56	P	112	P	120	P	151	P	78	P	121	P	111	P	141	P	137	P	140	P
"No cluster in current Unigene and no Genbank entry for T65770 (qualifier T65770)"	T65770	34	P	25	A	9	A	42	P	12	A	5	A	19	A	11	A	24	P	28	P	16	A	0	A	20	A	28	A	16	P	23	P	11	M
"ESTs, Highly  similar to FARNESYL PYROPHOSPHATE SYNTHETASE [Homo sapiens]"	T65790	231	P	217	P	304	P	56	P	108	P	118	P	107	P	54	P	95	P	121	P	112	P	141	P	127	P	207	P	269	P	376	P	317	P
"Lipid-activated, protein kinase PRK2 mRNA"	T65792	32	P	68	P	40	P	38	P	21	P	36	P	16	A	21	P	26	P	41	P	55	P	12	A	39	P	35	P	29	P	29	P	27	P
"ESTs"	T65844	17	P	14	M	17	P	20	P	1	A	3	A	9	A	9	A	19	A	19	P	15	A	3	A	34	P	10	A	14	A	17	A	12	A
"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DQ(2) ALPHA CHAIN PRECURSOR"	T65859	1	A	10	A	-17	A	-30	A	-18	A	-2	A	-24	A	-14	A	-3	A	0	A	-8	A	-4	A	4	A	6	A	-3	A	-2	A	-7	A
"ESTs"	T65872_f	-8	A	-6	A	18	P	12	A	0	A	2	A	-3	A	-2	A	-16	A	1	A	-8	A	-2	A	3	A	4	A	1	A	-1	A	-1	A
"ESTs"	T65872_i	24	A	64	P	34	A	30	M	8	A	16	A	13	A	8	A	16	A	16	A	14	A	40	P	20	M	20	P	11	A	14	A	18	P
"ESTs"	T65872_r_i	28	A	40	A	35	A	37	A	5	A	9	A	7	A	10	A	12	A	14	A	14	A	26	A	22	P	15	A	12	A	6	A	14	A
"ESTs, Highly  similar to GLIA MATURATION FACTOR BETA [Homo sapiens; Bos taurus]"	T65874	52	P	74	P	116	P	118	P	33	P	33	P	45	P	60	P	30	P	43	P	44	P	31	P	41	P	78	P	89	P	99	P	222	P
"TRANSLATIONALLY CONTROLLED TUMOR PROTEIN"	T65938	3202	P	1910	P	2596	P	2809	P	4336	P	5441	P	5114	P	6502	P	3999	P	4973	P	4862	P	4864	P	5693	P	5266	P	5697	P	4991	P	5549	P
"LARGE PROLINE-RICH PROTEIN BAT2"	T66286_f	-7	A	40	A	-33	A	-8	A	-12	A	23	A	12	A	1	A	14	A	0	A	-8	A	-15	A	4	A	-33	A	2	A	-2	A	7	A
"LARGE PROLINE-RICH PROTEIN BAT2"	T66286_i	144	P	171	P	174	P	168	P	62	P	58	P	72	M	70	A	63	P	45	P	33	A	58	A	68	P	86	A	93	P	101	P	98	P
"HEAT SHOCK 70 KD PROTEIN 1"	T66307	-2	A	15	A	6	A	-4	A	22	P	42	P	34	P	45	P	11	A	25	P	17	P	18	P	34	P	9	A	-1	A	1	A	-3	A
"Proteasome subunit p42"	T66747	63	P	46	P	112	P	63	P	25	P	26	P	31	P	24	P	62	P	109	P	35	P	28	P	40	P	41	P	70	P	55	P	51	P
"CD3G CD3G antigen, gamma polypeptide (TiT3 complex)"	T66799	18	P	61	P	37	P	20	P	6	A	6	A	6	A	6	A	6	A	19	A	18	A	6	A	13	P	188	P	124	P	68	P	137	P
"CLASS II HISTOCOMPATIBILITY ANTIGEN, M ALPHA CHAIN PRECURSOR"	T66811	19	A	10	A	16	A	20	A	19	A	21	A	-2	A	6	A	26	A	17	A	12	A	16	A	-8	A	12	A	28	A	17	A	25	A
"ESTs, Highly  similar to COMPLEMENT RECEPTOR TYPE 1 PRECURSOR [Homo sapiens]"	T66823	-6	A	1	A	-6	A	0	A	-6	A	1	A	-1	A	-1	A	-5	A	-4	A	6	A	0	A	-11	A	-12	A	-8	A	-7	A	-7	A
"CKM Creatine kinase, muscle"	T66871	-21	A	-71	A	-7	A	-7	A	-20	A	-52	A	-25	A	-18	A	-22	A	-21	A	-35	A	-70	A	-41	A	-21	A	-25	A	-22	A	-26	A
"ESTs, Moderately  similar to NUCLEAR FACTOR 1 CLONE PNF1/X [Mesocricetus auratus]"	T66960	0	A	15	A	16	A	2	A	1	A	7	A	0	A	10	A	-3	A	4	A	-2	A	6	A	-4	A	15	A	4	A	7	A	5	A
"ESTs, Highly  similar to GLUCOKINASE REGULATORY PROTEIN [Rattus norvegicus]"	T67006	32	M	43	A	25	A	8	A	0	A	22	A	3	A	13	A	11	M	23	M	19	A	24	A	-1	A	20	P	15	P	13	A	15	A
"No cluster in current Unigene and no Genbank entry for T67051 (qualifier T67051)"	T67051	5	A	0	A	3	A	9	A	2	A	4	A	-1	A	3	A	6	A	5	A	1	A	5	A	6	A	-3	A	3	A	8	A	1	A
"No cluster in current Unigene and no Genbank entry for T67077 (qualifier T67077)"	T67077	-1	A	-22	A	8	A	5	A	-2	A	4	A	4	A	7	A	-1	A	7	A	1	A	-2	A	2	A	11	A	1	A	29	A	1	A
"RETINOIC ACID RECEPTOR RXR-BETA"	T67173_i	58	P	68	P	50	P	46	P	23	P	20	P	17	P	26	P	32	P	52	P	28	P	44	A	26	P	52	P	58	P	49	P	65	P
"RETINOIC ACID RECEPTOR RXR-BETA"	T67173_r	19	A	15	A	13	A	23	P	8	A	12	P	11	A	10	A	21	A	28	P	16	A	22	A	18	A	19	A	31	P	41	P	33	P
"No cluster in current Unigene and no Genbank entry for T67257 (qualifier T67257)"	T67257	1	A	14	P	3	A	1	A	-4	A	0	A	2	A	1	A	1	A	10	A	22	P	-1	A	-1	A	5	A	2	A	3	A	-2	A
"C4A Complement component 4A"	T67406	-6	A	-4	A	-7	A	-5	A	10	A	-3	A	-12	A	-6	A	-10	A	-1	A	2	A	-3	A	-2	A	1	A	-1	A	3	A	1	A
"ESTs, Highly  similar to J KAPPA-RECOMBINATION SIGNAL BINDING PROTEIN [Mus musculus]"	T67414	29	P	43	P	32	P	270	P	13	A	39	P	29	P	46	P	67	P	26	P	64	P	66	P	102	P	26	P	22	P	17	P	22	P
"BF B-factor, properdin"	T67422	-1	A	3	A	5	A	12	A	4	A	0	A	7	A	14	P	4	A	11	A	3	A	4	A	6	A	1	A	12	A	4	A	-5	A
"ANGIOGENIN PRECURSOR"	T67433	21	P	22	A	31	P	37	P	21	A	1	A	15	A	19	P	-1	A	4	A	6	A	11	P	10	A	40	P	34	P	170	P	30	P
"No cluster in current Unigene and no Genbank entry for T67475 (qualifier T67475)"	T67475	5	A	12	M	12	A	13	M	-4	A	20	P	8	P	1	A	3	A	13	A	18	P	17	A	13	P	14	P	6	A	12	P	0	A
"HP Haptoglobin"	T67511	-32	A	-78	A	-13	A	-21	A	-8	A	-35	A	-18	A	-20	A	-6	A	-15	A	-26	A	11	A	-14	A	-6	A	-22	A	-26	A	-15	A
"ESTs, Highly  similar to PLASMINOGEN PRECURSOR [Homo sapiens]"	T67549	21	A	57	M	43	P	37	M	7	A	13	A	11	A	8	A	14	A	14	A	22	P	35	A	15	P	9	A	10	A	17	P	4	A
"AZGP1 Zinc-alpha-2-glycoprotein 1"	T67689	-3	A	-10	A	-3	A	-12	A	0	A	1	A	-2	A	4	A	-4	A	-1	A	-4	A	1	A	4	A	8	A	-3	A	7	A	5	A
"FGA Fibrinogen, A alpha polypeptide"	T67703	1	A	28	A	18	A	18	P	4	A	19	A	9	A	2	A	16	P	24	P	18	A	24	A	5	A	3	A	13	A	12	A	10	A
"AMBP Alpha-1-microglobulin/bikunin precursor"	T67704	0	A	15	P	18	P	8	A	-1	A	16	M	3	A	19	P	15	M	8	A	3	M	12	A	17	M	11	M	19	A	6	A	19	A
"C4A Complement component 4A"	T67875	4	A	5	A	-2	A	-8	A	7	A	-6	A	15	A	-2	A	-8	A	-2	A	-5	A	-4	A	-3	A	-9	A	-2	A	3	A	-12	A
"ESTs, Highly similar to oviductal glycoprotein [H.sapiens]"	T67897	68	A	87	A	58	A	26	A	3	A	43	P	17	A	15	A	15	A	12	A	37	A	34	A	28	A	25	P	16	A	18	A	19	A
"ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR"	T67905	633	P	752	P	470	P	673	P	137	P	130	P	190	P	110	P	144	P	316	P	259	P	218	P	193	P	881	P	502	P	642	P	694	P
"HPX Hemopexin"	T67915	14	A	62	A	23	A	29	M	6	A	11	A	-9	A	7	A	29	P	28	P	19	M	36	A	38	A	31	A	28	P	18	P	32	P
"ESTs, Highly  similar to ASIALOGLYCOPROTEIN RECEPTOR 2 [Homo sapiens]"	T67921	17	A	-14	A	-11	A	8	A	0	A	2	A	-7	A	0	A	0	A	6	A	32	A	93	M	-8	A	-7	A	-2	A	-9	A	-7	A
"Thyroid autoantigen (truncated actin-binding protein) mRNA"	T67924	3	A	16	A	1	A	10	A	4	A	0	A	5	A	4	A	18	P	14	P	14	A	9	A	5	A	19	P	13	P	8	A	10	A
"CLU Clusterin (complement lysis inhibitor; testosterone-repressed prostate message 2; apolipoprotein J)"	T67986	-2	A	-12	A	26	A	-33	A	1	A	-1	A	-4	A	9	A	-1	A	-8	A	-4	A	-12	A	-7	A	10	A	-5	A	0	A	-3	A
"KIAA0045 gene"	T67994	24	P	36	P	45	P	68	P	9	A	57	P	32	P	30	A	28	P	37	P	47	P	69	P	114	P	41	P	24	A	63	P	50	P
"AACT Alpha-1-antichymotrypsin"	T68098	20	A	45	A	43	P	24	M	12	A	8	A	16	A	14	P	10	A	7	A	-10	A	8	A	21	A	22	P	8	A	17	A	8	A
"No cluster in current Unigene and no Genbank entry for T68115 (qualifier T68115)"	T68115	-24	A	-16	A	-18	A	-17	A	2	A	-9	A	-5	A	-2	A	4	A	-7	A	-6	A	-13	A	-6	A	-9	A	-9	A	1	A	-3	A
"CP Ceruloplasmin (ferroxidase)"	T68167	10	A	13	P	4	A	17	P	4	A	5	A	3	A	8	A	2	A	1	A	6	A	5	A	10	A	4	A	9	A	1	A	0	A
"TF Transferrin"	T68283	51	P	42	P	33	P	47	P	3	A	4	A	1	A	4	A	19	P	20	A	51	P	15	A	14	A	17	A	14	A	15	A	15	A
"EST"	T68426	140	P	6	A	-4	A	93	P	-28	A	-10	A	-28	A	-19	A	-1	M	1	A	7	A	-16	A	70	A	72	A	45	P	48	P	19	A
"P4HB Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)"	T68450	43	P	9	A	68	A	27	A	6	A	-10	M	14	A	7	P	13	M	17	A	36	A	15	A	-2	A	26	A	21	A	10	A	13	A
"No cluster in current Unigene and no Genbank entry for T68541 (qualifier T68541_f)"	T68541_f	6	A	-3	A	-5	A	-7	A	-4	A	4	A	-2	A	-4	A	-9	A	-2	A	19	A	-2	A	5	A	18	A	9	A	1	A	-11	A
"Metallothionein isoform 2"	T68542	82	M	158	P	78	P	106	P	367	P	460	P	376	P	63	A	110	A	122	A	170	A	164	A	261	P	40	A	-16	A	45	M	137	A
"GSTA1 Glutathione S-transferase A2"	T68706	-4	M	111	A	65	A	-6	A	24	M	20	M	11	A	13	A	19	A	5	A	3	A	5	A	8	A	35	A	44	A	44	M	35	A
"ITIH1 Inter-alpha (globulin) inhibitor, H1 polypeptide"	T68722	67	P	125	P	62	P	38	P	29	A	27	P	20	M	13	P	14	A	64	P	50	P	83	P	56	P	63	P	44	P	26	A	41	P
"PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A"	T68848	3030	P	3450	P	2820	P	2522	P	773	P	613	P	712	P	674	P	1433	P	2259	P	1534	P	1649	P	1883	P	2027	P	1711	P	1683	P	1663	P
"No cluster in current Unigene and no Genbank entry for T68853 (qualifier T68853)"	T68853	-2	A	7	P	2	A	4	A	-1	A	-2	A	5	A	2	A	7	A	-2	A	5	A	8	A	-2	A	4	A	-2	A	-7	A	1	A
"No cluster in current Unigene and no Genbank entry for T68979 (qualifier T68979_f)"	T68979_f	-42	A	-84	A	-35	A	-34	A	-19	A	-40	A	-35	A	-22	A	-23	A	-34	A	-44	A	-51	A	-31	A	-36	A	-19	A	-18	A	-23	A
"No cluster in current Unigene and no Genbank entry for T68979 (qualifier T68979_i)"	T68979_i	-10	A	-60	A	-19	A	-20	A	-6	A	-10	A	-15	A	-2	A	-8	A	-13	A	-10	A	-25	A	-3	A	2	A	-3	A	-3	A	-12	A
"ESTs, Highly  similar to RIBOKINASE [Bacillus subtilis]"	T69020	15	P	19	A	9	P	29	P	-3	A	-1	A	-4	A	-5	A	2	A	18	P	15	A	3	A	1	A	8	A	-2	A	5	A	5	A
"FIBRINOGEN BETA CHAIN PRECURSOR"	T69021	6	A	-2	A	2	A	8	A	-2	A	1	A	-1	A	-1	A	-4	A	-1	A	0	A	-1	A	0	A	-2	A	5	A	-1	A	3	A
"RPL9 Ribosomal protein L9"	T69026	2275	P	1937	P	2945	P	2551	P	550	P	389	P	523	P	638	P	1347	P	1705	P	1397	P	1489	P	1136	P	1620	P	1460	P	1826	P	1914	P
"Inter-alpha-trypsin inhibitor heavy chain H3"	T69030	-2	A	5	A	-2	A	7	A	5	A	5	A	6	A	3	A	3	A	5	A	6	A	8	A	3	A	1	A	-6	A	3	A	5	A
"FGA Fibrinogen, A alpha polypeptide"	T69122	1	A	-5	A	2	A	12	A	0	A	1	A	3	A	-1	A	1	A	2	A	1	A	-2	A	1	A	11	A	0	A	-1	A	7	A
"HRG Histidine-rich glycoprotein"	T69265	1	A	5	A	-3	A	6	A	4	A	2	A	1	A	3	A	4	A	8	A	16	A	5	A	4	A	3	A	5	A	-3	A	-6	A
"ESTs, Highly  similar to SEX HORMONE-BINDING GLOBULIN PRECURSOR [Homo sapiens]"	T69271	17	A	52	A	34	A	43	A	7	A	10	A	6	A	7	A	15	A	34	A	24	A	17	A	24	A	26	A	12	A	27	A	22	A
"ESTs, Highly  similar to VITRONECTIN PRECURSOR [Homo sapiens]"	T69308	7	A	22	P	5	A	13	A	2	A	5	A	2	A	4	A	11	A	-4	A	11	A	13	A	-19	A	1	A	20	P	5	A	14	A
"LOW-DENSITY LIPOPROTEIN RECEPTOR PRECURSOR"	T69422_f	1	A	-2	A	1	A	0	A	-4	A	-7	A	-7	A	-1	A	-2	A	-4	A	4	A	10	A	27	A	-2	A	3	A	2	A	-8	A
"LOW-DENSITY LIPOPROTEIN RECEPTOR PRECURSOR"	T69422_i	-9	A	60	A	38	A	21	A	6	A	-2	A	-13	A	11	A	3	A	6	A	10	A	15	A	25	M	1	A	14	A	4	A	-1	A
"A2M Alpha-2-macroglobulin"	T69425	-1	A	5	A	0	A	92	P	0	A	-3	A	4	A	138	P	7	A	1	A	4	A	3	A	4	A	-3	A	1	A	3	A	-3	A
"EIF4A1 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 1"	T69446	706	P	669	P	872	P	695	P	442	P	695	P	531	P	235	P	188	P	214	P	294	P	200	P	225	P	714	P	868	P	765	P	576	P
"Plasma cell membrane glycoprotein (PC-1) mRNA"	T69450	6	A	16	A	-6	A	14	A	-1	A	-1	A	-2	A	-1	A	4	A	0	A	1	A	-3	A	1	A	1	A	1	A	-8	A	35	P
"RPS4Y Ribosomal protein S4, Y-linked"	T69468	2	A	8	A	10	A	9	A	-1	A	1	A	2	A	-3	A	1	A	11	A	-2	A	3	A	-8	A	2	A	9	A	-2	A	-3	A
"C1R Complement component C1r"	T69603	1	A	-6	A	18	A	14	A	6	A	1	A	5	A	13	A	-7	A	-13	A	-13	A	0	A	2	A	7	A	-6	A	2	A	2	A
